slug,score,critical,high,medium,low,info,ai_authored_percent,url,report_html,report_json,notes
n8n-io-n8n,0,37,47,7,2,352,23.4,https://github.com/n8n-io/n8n.git,n8n-io-n8n.html,n8n-io-n8n.json,cached
affaan-m-ECC,61,0,8,1,0,102,35.4,https://github.com/affaan-m/ECC.git,affaan-m-ECC.html,affaan-m-ECC.json,cached
langgenius-dify,,,,,,,,https://github.com/langgenius/dify.git,,,scan-failed: exit 1
nexu-io-open-design,0,12,124,12,10,156,20.9,https://github.com/nexu-io/open-design.git,nexu-io-open-design.html,nexu-io-open-design.json,cached
asgeirtj-system_prompts_leaks,100,0,0,0,0,0,0.9,https://github.com/asgeirtj/system_prompts_leaks.git,asgeirtj-system_prompts_leaks.html,asgeirtj-system_prompts_leaks.json,cached
FlowiseAI-Flowise,48,10,1,3,0,9,0,https://github.com/FlowiseAI/Flowise.git,FlowiseAI-Flowise.html,FlowiseAI-Flowise.json,cached
danny-avila-LibreChat,0,1,99,9,7,182,10.3,https://github.com/danny-avila/LibreChat.git,danny-avila-LibreChat.html,danny-avila-LibreChat.json,cached
appsmithorg-appsmith,50,0,6,7,1,70,10.1,https://github.com/appsmithorg/appsmith.git,appsmithorg-appsmith.html,appsmithorg-appsmith.json,cached
ToolJet-ToolJet,,,,,,,,https://github.com/ToolJet/ToolJet.git,,,clone-failed: Cloning into '/Users/anuragyadav/Developer/TopNotchh-Workspace/verglos/scan-campaign-workspace/ToolJet-ToolJet'...
ItzCrazyKns-Vane,92,0,1,1,0,0,0,https://github.com/ItzCrazyKns/Vane.git,ItzCrazyKns-Vane.html,ItzCrazyKns-Vane.json,cached
sahat-hackathon-starter,86,0,2,1,1,3,99.8,https://github.com/sahat/hackathon-starter.git,sahat-hackathon-starter.html,sahat-hackathon-starter.json,cached
diegosouzapw-OmniRoute,0,18,102,28,16,1067,21.5,https://github.com/diegosouzapw/OmniRoute.git,diegosouzapw-OmniRoute.html,diegosouzapw-OmniRoute.json,cached
Mintplex-Labs-anything-llm,8,4,9,2,5,5,0.1,https://github.com/Mintplex-Labs/anything-llm.git,Mintplex-Labs-anything-llm.html,Mintplex-Labs-anything-llm.json,cached
JCodesMore-ai-website-cloner-template,98,0,0,1,1,0,35,https://github.com/JCodesMore/ai-website-cloner-template.git,JCodesMore-ai-website-cloner-template.html,JCodesMore-ai-website-cloner-template.json,cached
ruvnet-ruflo,0,29,38,48,35,105,24.7,https://github.com/ruvnet/ruflo.git,ruvnet-ruflo.html,ruvnet-ruflo.json,cached
SigNoz-signoz,96,0,0,2,0,0,16.1,https://github.com/SigNoz/signoz.git,SigNoz-signoz.html,SigNoz-signoz.json,
simstudioai-sim,0,2,31,9,5,64,30.6,https://github.com/simstudioai/sim.git,simstudioai-sim.html,simstudioai-sim.json,
labring-FastGPT,36,1,6,6,2,220,0.1,https://github.com/labring/FastGPT.git,labring-FastGPT.html,labring-FastGPT.json,
Budibase-budibase,15,2,14,2,5,20,10.1,https://github.com/Budibase/budibase.git,Budibase-budibase.html,Budibase-budibase.json,
yamadashy-repomix,,,,,,,,https://github.com/yamadashy/repomix.git,,,scan-failed: exit 1
mastra-ai-mastra,0,59,41,15,15,246,31.5,https://github.com/mastra-ai/mastra.git,mastra-ai-mastra.html,mastra-ai-mastra.json,
decolua-9router,14,66,6,38,4,130,10.5,https://github.com/decolua/9router.git,decolua-9router.html,decolua-9router.json,
kriasoft-react-starter-kit,100,0,0,0,0,3,30.8,https://github.com/kriasoft/react-starter-kit.git,kriasoft-react-starter-kit.html,kriasoft-react-starter-kit.json,
nocobase-nocobase,19,49,5,14,2,75,10,https://github.com/nocobase/nocobase.git,nocobase-nocobase.html,nocobase-nocobase.json,
coze-dev-coze-studio,75,0,6,0,1,5,31.6,https://github.com/coze-dev/coze-studio.git,coze-dev-coze-studio.html,coze-dev-coze-studio.json,
activepieces-activepieces,0,18,83,9,0,19,30,https://github.com/activepieces/activepieces.git,activepieces-activepieces.html,activepieces-activepieces.json,
refinedev-refine,88,0,1,3,0,64,99.8,https://github.com/refinedev/refine.git,refinedev-refine.html,refinedev-refine.json,
medusajs-medusa,21,6,1,494,6,107,20.3,https://github.com/medusajs/medusa.git,medusajs-medusa.html,medusajs-medusa.json,
wasp-lang-open-saas,,,,,,,,https://github.com/wasp-lang/open-saas.git,,,scan-failed: exit 1
NanmiCoder-cc-haha,26,3,3,6,8,73,11.6,https://github.com/NanmiCoder/cc-haha.git,NanmiCoder-cc-haha.html,NanmiCoder-cc-haha.json,
mksglu-context-mode,55,12,0,2,2,22,21.2,https://github.com/mksglu/context-mode.git,mksglu-context-mode.html,mksglu-context-mode.json,
ixartz-Next-js-Boilerplate,89,0,1,2,3,0,10,https://github.com/ixartz/Next-js-Boilerplate.git,ixartz-Next-js-Boilerplate.html,ixartz-Next-js-Boilerplate.json,
illacloud-illa-builder,100,0,0,0,0,8,0,https://github.com/illacloud/illa-builder.git,illacloud-illa-builder.html,illacloud-illa-builder.json,
can1357-oh-my-pi,8,17,3,11,5,218,12.1,https://github.com/can1357/oh-my-pi.git,can1357-oh-my-pi.html,can1357-oh-my-pi.json,
zilliztech-claude-context,70,1,0,9,0,6,10,https://github.com/zilliztech/claude-context.git,zilliztech-claude-context.html,zilliztech-claude-context.json,
MemTensor-MemOS,66,0,3,22,2,22,100,https://github.com/MemTensor/MemOS.git,MemTensor-MemOS.html,MemTensor-MemOS.json,
VoltAgent-voltagent,0,6,22,2,3,49,100,https://github.com/VoltAgent/voltagent.git,VoltAgent-voltagent.html,VoltAgent-voltagent.json,
cobusgreyling-loop-engineering,98,0,0,1,0,0,1.2,https://github.com/cobusgreyling/loop-engineering.git,cobusgreyling-loop-engineering.html,cobusgreyling-loop-engineering.json,
superset-sh-superset,8,3,16,7,3,16,34,https://github.com/superset-sh/superset.git,superset-sh-superset.html,superset-sh-superset.json,
idurar-idurar-erp-crm,78,1,1,0,3,1,0,https://github.com/idurar/idurar-erp-crm.git,idurar-idurar-erp-crm.html,idurar-idurar-erp-crm.json,
apitable-apitable,50,1,3,75,1,2,2.3,https://github.com/apitable/apitable.git,apitable-apitable.html,apitable-apitable.json,
coaidev-coai,98,0,0,1,0,0,0.3,https://github.com/coaidev/coai.git,coaidev-coai.html,coaidev-coai.json,
ComposioHQ-composio,43,4,0,1,0,36,20.4,https://github.com/ComposioHQ/composio.git,ComposioHQ-composio.html,ComposioHQ-composio.json,
webiny-webiny-js,21,1,14,6,5,19,100,https://github.com/webiny/webiny-js.git,webiny-webiny-js.html,webiny-webiny-js.json,
idosal-git-mcp,86,0,2,1,0,0,99.9,https://github.com/idosal/git-mcp.git,idosal-git-mcp.html,idosal-git-mcp.json,
ixartz-SaaS-Boilerplate,98,0,0,1,0,0,0,https://github.com/ixartz/SaaS-Boilerplate.git,ixartz-SaaS-Boilerplate.html,ixartz-SaaS-Boilerplate.json,
Blazity-next-enterprise,98,0,0,1,0,0,0,https://github.com/Blazity/next-enterprise.git,Blazity-next-enterprise.html,Blazity-next-enterprise.json,
vercel-next-forge,92,0,0,4,0,1,0,https://github.com/vercel/next-forge.git,vercel-next-forge.html,vercel-next-forge.json,
Kiranism-next-shadcn-dashboard-starter,94,0,0,3,1,0,20,https://github.com/Kiranism/next-shadcn-dashboard-starter.git,Kiranism-next-shadcn-dashboard-starter.html,Kiranism-next-shadcn-dashboard-starter.json,
hexclave-hexclave,0,4,22,23,8,54,30.3,https://github.com/hexclave/hexclave.git,hexclave-hexclave.html,hexclave-hexclave.json,
grab-cursor-talk-to-figma-mcp,81,0,3,0,2,0,99.7,https://github.com/grab/cursor-talk-to-figma-mcp.git,grab-cursor-talk-to-figma-mcp.html,grab-cursor-talk-to-figma-mcp.json,
jnMetaCode-superpowers-zh,100,0,0,0,0,0,10.4,https://github.com/jnMetaCode/superpowers-zh.git,jnMetaCode-superpowers-zh.html,jnMetaCode-superpowers-zh.json,
open-multi-agent-open-multi-agent,85,0,0,8,0,48,11.5,https://github.com/open-multi-agent/open-multi-agent.git,open-multi-agent-open-multi-agent.html,open-multi-agent-open-multi-agent.json,
lobehub-lobehub,0,14,19,13,5,124,31.2,https://github.com/lobehub/lobehub.git,lobehub-lobehub.html,lobehub-lobehub.json,
thecodingmachine-react-native-boilerplate,94,0,1,0,0,0,99.3,https://github.com/thecodingmachine/react-native-boilerplate.git,thecodingmachine-react-native-boilerplate.html,thecodingmachine-react-native-boilerplate.json,
e2b-dev-fragments,95,0,0,2,2,1,99.5,https://github.com/e2b-dev/fragments.git,e2b-dev-fragments.html,e2b-dev-fragments.json,
netease-youdao-LobsterAI,55,1,2,54,6,6,10.6,https://github.com/netease-youdao/LobsterAI.git,netease-youdao-LobsterAI.html,netease-youdao-LobsterAI.json,
dtyq-magic,26,4,2,10,31,10,6.9,https://github.com/dtyq/magic.git,dtyq-magic.html,dtyq-magic.json,
53AI-53AIHub,0,4,37,12,31,62,0.7,https://github.com/53AI/53AIHub.git,53AI-53AIHub.html,53AI-53AIHub.json,
boxyhq-saas-starter-kit,89,0,1,2,2,0,99.9,https://github.com/boxyhq/saas-starter-kit.git,boxyhq-saas-starter-kit.html,boxyhq-saas-starter-kit.json,
obytes-react-native-template-obytes,100,0,0,0,0,1,10,https://github.com/obytes/react-native-template-obytes.git,obytes-react-native-template-obytes.html,obytes-react-native-template-obytes.json,
composio-community-open-claude-cowork,87,0,2,0,2,0,10,https://github.com/composio-community/open-claude-cowork.git,composio-community-open-claude-cowork.html,composio-community-open-claude-cowork.json,
